Gate_1,Gate_2,Delay,Fidelity,θ1,θ2,θ3,θ4,θ5
0,0,0,0.9228132995247352,1.8905340305617853,1.9626300496389057,0.6501645153500532,0.468239140889383,-0.7399708404912898
0,1,0,0.9284382510874569,0.6004767855100624,1.3291996986365964,0.7529294294222348,0.05207452761687381,0.8459468341045174
0,2,0,0.9182508361768614,0.8650666832831733,0.4380156532186021,0.530109026751092,0.46725781628306173,0.1268516104754827
1,0,0,0.9206234816610717,1.2378840400402555,0.2714664916453543,0.033292086142530944,0.31841877791916984,0.5238049228836109
1,1,0,0.9105118863028555,1.1704156888446564,1.2724047400529483,0.6343935274371945,0.5778370422068326,0.15157316968983683
1,2,0,0.9246333413384732,0.44388003081181654,1.6073681937229993,-0.23878069785892445,0.5861169408110838,1.698852872680556
2,0,0,0.9445617304230977,1.6335513646778044,2.0503569365973924,-0.0677662368352804,0.2289982117126761,0.2641612044008918
2,1,0,0.9360330872557089,0.35927059447586523,1.69341923453634,0.3275345233913971,1.6097099924793299,0.4402365666021687
2,2,0,0.9384461908446143,0.7318257406235763,1.9547141748733134,0.8048639602915344,0.08267452640359642,0.02372169942375738
0,0,1000,0.8972167968749999,1.7326101947169672,0.9916563896602377,0.2070630644117795,0.47816709008935754,1.7393033925395711
0,1,1000,0.870949895153346,0.03468042249535726,1.5287406990165997,0.9462855840667996,0.2443524704923243,0.44907217416323714
0,2,1000,0.8747943445771745,-0.38156391650446525,0.8778165812601615,-0.3223532285606732,-0.5983923270196775,1.4912176151045213
1,0,1000,0.8747943445771745,1.5922873846483914,0.5839584721390059,1.2514231069361552,1.342662910361911,1.670459879418962
1,1,1000,0.885667516553128,0.41535556385040956,0.44673862417187543,-0.2999091431521119,0.33539477067989953,0.25716068926714225
1,2,1000,0.8714691491339889,1.5286564815036805,0.6584604100328203,1.4024180170260163,1.4999849939572123,0.2743569669499646
2,0,1000,0.8975828152725217,-0.17894564683814398,-0.3733347065203743,0.6853584885220086,0.5707072961541115,1.7542636315052984
2,1,1000,0.90223105118469,0.8933127009489056,1.238585665713519,0.5530355387185414,0.30628011938152705,0.4016682802144855
2,2,1000,0.9186503055649602,0.3108938172763847,1.487652172789263,0.8334712837252689,1.53101842364184,1.687898526603306
0,0,2000,0.8816233317041913,1.116887566761893,0.7578389967240186,0.5277786761019988,2.1280086258409807,-0.7533476750085323
0,1,2000,0.8606045564586354,0.7713276009364456,1.811198882378118,0.14591743553805048,0.9183438994652392,0.5846764213658407
0,2,2000,0.869784744211937,0.77738423818697,2.129193146010875,0.6410218738569154,0.953215294909152,0.7546854278239657
1,0,2000,0.8678616910255067,0.02863093584403179,0.6347095642369761,0.37644105763225977,0.47501651017280827,1.4470310308981977
1,1,2000,0.8891844648916871,1.65238715109027,0.994276048878285,0.1249997775672125,0.7285177537778065,0.6727575643401308
1,2,2000,0.8640075815441777,1.4487846502051145,1.7814714107308445,0.4372507380491604,0.5659183520914123,0.5933641976600381
2,0,2000,0.8876102331709611,0.7914962086800519,1.3971543798321984,1.8223483563563792,0.9596957343364353,0.05592997719972849
2,1,2000,0.8758405135238772,0.1573957782666887,0.5350016663330105,1.7180176279512944,0.697616978902879,0.16815457954183022
2,2,2000,0.8743984792192905,1.6346105322661517,0.9869973079277836,0.6977302348431034,1.6433013958987135,0.4911903900269354
0,0,3000,0.8589269933477107,0.4727680658198433,0.45934017295519414,1.4263759570813739,1.3977296568051432,1.7175777885511938
0,1,3000,0.8495644767023361,1.6536959164091702,1.2346612684502278,0.2363971123148576,0.8400963664769144,0.888874368497532
0,2,3000,0.8583647708047284,1.866323835741082,1.8797959409066212,0.9219588610704574,1.7798190828810798,0.26206423214647145
1,0,3000,0.8391343473310371,1.4275104048020213,0.5357413546072382,0.7389580911232951,-0.6729977723769898,-0.008315746426479566
1,1,3000,0.8513149710591149,2.0904491711467896,-0.6909785573051287,0.03685795302917172,-0.0676296673038772,0.8582449265996797
1,2,3000,0.8551857584644251,2.363331564710091,1.5683672914350342,0.4832298391645456,1.740258650152362,0.3392676043677651
2,0,3000,0.8542693884052879,0.3528074667365182,0.6653135730344625,0.5240837195550275,0.5668399871013736,0.5256692238762048
2,1,3000,0.8593577867711779,0.8014742435483193,0.07567075680643282,0.4563365400792653,0.4733094382304399,0.7367704793179483
2,2,3000,0.8543334147488034,1.6708374764799179,0.4240281314425935,0.020667288229345795,0.7853509827183355,0.19101918938472223
0,0,4000,0.8199869384562047,0.863030353711127,0.44112887733897077,0.20463747870461346,0.49453396052699733,0.1274174203203787
0,1,4000,0.8123459297202608,1.6942580327687444,1.7613806858004166,0.8465078300243862,0.9681202405967898,0.7569059256587153
0,2,4000,0.8215188415932072,1.468041085858737,0.17862477594335252,0.8604097165782938,1.955004888060957,0.16722404858082074
1,0,4000,0.8378902458994222,1.5681930267448705,1.5554303239739213,1.6631654261326438,1.9407622258666668,0.6056083682005279
1,1,4000,0.8142787444956647,0.8316968215562823,2.550222322679365,-0.14753850281070613,-0.27886041552747676,-0.22166461932615902
1,2,4000,0.8332606723171891,0.9057746263504239,0.2484588629216006,1.7819933143656723,0.9658573366055123,0.9747548837287553
2,0,4000,0.8402341488128948,0.30286538834538285,0.5197624656049125,0.2515538073117611,0.0666422607957628,0.8469324732153547
2,1,4000,0.838079815880583,0.6044521817170854,0.7498490667735926,1.3453893903446916,0.3883292805881234,1.821442116221281
2,2,4000,0.8014958959252334,-0.6961890265388929,-0.5938689010994801,0.47186344350297704,-0.30731726847346313,-0.28713127110995257
0,0,5000,0.8135900724655564,1.7125516977743453,1.54698570141529,1.0345372398539125,0.759381449004875,0.6716592809856482
0,1,5000,0.8008952571553242,0.5453626959774666,0.4653063982900097,0.3920449709626519,0.6078692280757714,0.7627241155874718
0,2,5000,0.8250543459445265,0.7380832418982317,1.1858960838823138,1.7468086675239114,1.7125330076294971,2.459981547622389
1,0,5000,0.860351470092483,3.511676009739122,2.371848190152828,1.4416384559237332,2.5413171420069656,1.5970753635405315
1,1,5000,0.8270889665813261,1.4593721216956606,2.9115195156471447,0.7962367694007716,2.2078501121396075,-0.9793610019709827
1,2,5000,0.8298338866405467,2.546188714328189,3.399391476758156,1.3964391804622422,1.7392159049723672,2.678492821834897
2,0,5000,0.7917644956293952,1.1966201764475624,1.1264394334920345,0.5511906526321052,1.7942728426291337,0.1532512196565607
2,1,5000,0.7962147701135464,0.07844547009058046,0.31897590177139995,0.18761564075776296,1.1445192085611704,-0.01171166855553832
2,2,5000,0.8059508513930304,0.4609787635446473,0.602529705174944,1.071881465063431,0.9441851828044265,1.3247416340206204
0,0,6000,0.8260842521887588,1.481904294446731,1.8105768543928757,1.9387358129751429,2.4405003713418307,2.1010340810796087
0,1,6000,0.8238629956940238,2.1158109781930303,1.1524334013309598,2.2313346280242388,2.3163866891178415,-0.17398081703671792
0,2,6000,0.8358125117543586,2.7751247524035993,1.2619897217229517,3.359754405082014,2.11827951031807,2.327703007923744
1,0,6000,0.784587805674978,2.013674618283549,2.103500677834588,0.03275392946565669,0.22246954980045613,0.1253924260844465
1,1,6000,0.7791959217406008,2.2707942545184694,0.5007295696558167,1.0212499304590468,-0.5815962231021043,0.1320199440459976
1,2,6000,0.7705189096084682,1.1137981006490922,0.5693179314993132,0.1131125523469837,0.8708744734193452,0.22755964368203713
2,0,6000,0.7697133019051805,0.9681632527637412,1.6405911763821492,1.9752376984676179,0.4884703823146067,0.24816950577592037
2,1,6000,0.7921102332289064,0.7454060192529071,0.03360942766990947,0.4480930092077111,0.8951199973773905,1.7495826047599783
2,2,6000,0.7616054407057742,1.1714673088865104,0.3100734858487645,0.7054005883503561,1.423348445013498,0.7699218058300858
0,0,7000,0.7601767995005716,1.2298087505710504,0.4560184359718322,0.1534579601142087,0.7401105749608405,0.1833833158198307
0,1,7000,0.7481877078467357,0.5260454245261263,0.8983044045337815,0.21867711329704115,0.19256329678184828,0.10570167115560747
0,2,7000,0.78119125594461,-1.4931650171724966,2.388540908165869,-0.48028069999746503,1.0612169035813344,4.278599563063412
1,0,7000,0.7508674149851365,0.17043312451024628,0.863504771796277,0.3527929364118788,0.4677387784913522,0.7102028696191872
1,1,7000,0.756835832538405,2.272136292811884,-0.8897577907677129,2.6027685925760995,-0.26432444291264273,-0.7160425266721397
1,2,7000,0.8307588973650704,2.2738563848803626,2.333167267947137,1.7816372880939817,1.56609730726669,3.193167255583774
2,0,7000,0.7494734197270937,0.5321269193541436,0.6968467019847197,0.40059712055488306,0.4806285557278487,1.2942238578088134
2,1,7000,0.7454499871214916,0.6122604329126472,0.4155109161993707,0.6022497456234923,0.023834133230765796,0.6117047810821218
2,2,7000,0.7565978002753714,-0.020097727565235313,1.472101610386107,1.3594984498421394,0.4895634803038782,0.4355198122135165
0,0,8000,0.74239630237868,0.8592207475730753,1.51920302759825,0.6036456479913602,0.30575599099352874,0.6132215626510227
0,1,8000,0.7368904364689209,1.8842715387066737,1.6279744889805698,1.6052531008162234,0.9750959932217932,0.4507807455357679
0,2,8000,0.8004148098941138,2.0163273038902907,0.9518103425939722,3.6307770634656635,3.697786820539334,1.744452807451075
1,0,8000,0.7369109612810298,0.40780708800330356,0.10579284196993816,0.42392546466515385,0.5983119413468134,0.7682225847796881
1,1,8000,0.8105370304598937,1.977092763379601,1.6133091964245778,2.481739369567926,0.5689448561862852,2.152943057908016
1,2,8000,0.7374776549007717,0.06238357664773233,0.8013914523295803,1.8120519952059138,2.04255343968802,0.29883850132913065
2,0,8000,0.7242459763787923,1.2756069570200126,0.6318278757183532,0.9925385189511458,0.6757922039471456,0.6359195420692854
2,1,8000,0.7188022546405575,0.23909640746854097,0.8908566098052699,0.1355058670120987,-0.12429810494366084,0.10231456419135776
2,2,8000,0.7203312275024136,0.9632751907244458,0.9390927924432081,0.9606101709239289,0.20913393949334022,0.1320217047070973
0,0,9000,0.728486116461462,1.7293950962772358,1.4196654137267322,0.008752888275010907,0.5350236432468627,1.6253501233184497
0,1,9000,0.7485325765615456,0.9263540445634614,1.616247885146237,1.713779892910067,1.589949511346097,0.12820405229786527
0,2,9000,0.809391073219079,2.299951039457233,2.832718622164506,3.284442089214602,2.055963037120566,3.6523170628145745
1,0,9000,0.7005107650228318,1.9968071331775563,-0.046582278067383465,0.2043695139582806,0.586727687148151,-0.4370291268588258
1,1,9000,0.7731166871663211,0.9861285376425897,1.7642152753600862,1.5006221784427018,1.6123225421242904,0.8315177407101288
1,2,9000,0.7393920896010752,1.7224701793520958,0.37585207607555315,0.7341827588570804,0.25797400850203417,0.08027510675233154
2,0,9000,0.7141625931709509,1.5715970532669727,0.8286426696296499,0.8854993753876206,0.9267533006466375,0.6018056015699675
2,1,9000,0.7071628732716527,0.90002884276358,0.7172559522034598,0.35388478960314745,0.7010012353710208,0.2619540170966858
2,2,9000,0.7088546071570958,-0.2944806858872873,1.9542188810635381,0.508850221460724,-0.33659318169398234,0.46321693828541743
0,0,10000,0.6975106192622444,0.3513907689674243,1.5330090082389864,-0.015325854742296939,1.6167350221539534,0.12520572515667538
0,1,10000,0.7134416633755175,0.29055552021730746,0.020648623517145335,-0.565428373108719,2.2020533798304878,2.026987011187813
0,2,10000,0.7011421304467476,0.6496249903593492,1.1796181846329907,0.8541082460746171,0.3134121050246682,0.5615323590264377
1,0,10000,0.7499999999999999,0.35825707419971214,2.631853032155787,0.5528150252693667,2.5245209241905195,1.3696260472530328
1,1,10000,0.7033514320198032,0.9878385770248862,0.36277067510201344,0.6662795931490143,0.7022783944562844,0.3107374270604921
1,2,10000,0.7303710571472054,0.21806047356963312,-0.4141379363320257,1.975747770135317,2.4690473683863945,0.17846506575993554
2,0,10000,0.6899876606301492,0.9900998610172165,0.2369013155261038,0.1713583412249134,0.5329435717342053,0.12565614558852542
2,1,10000,0.6785524247240843,0.11947311102392504,1.2584897330900635,0.9722767719916463,0.767483825104442,1.352819605356108
2,2,10000,0.6992452595400032,0.20247058869982282,1.2042736946701134,0.8982664005102464,0.13162893162630926,0.0895363997194149
