Gate_1,Gate_2,Delay,Fidelity
0,0,0,0.9765152439022391
0,1,0,0.9838438670207943
0,2,0,0.9762217385487637
1,0,0,0.9810895481621562
1,1,0,0.9862563120307216
1,2,0,0.9838712824472605
2,0,0,0.9767668947123368
2,1,0,0.978399792536404
2,2,0,0.971628990351107
0,0,1000,0.9585875135349814
0,1,1000,0.9478778646527775
0,2,1000,0.9462517542127923
1,0,1000,0.931640284021307
1,1,1000,0.9451741066714612
1,2,1000,0.948235419677195
2,0,1000,0.9509325777511903
2,1,1000,0.9434621568188937
2,2,1000,0.9491854867908778
0,0,2000,0.90267404725859
0,1,2000,0.9079310174836677
0,2,2000,0.9324911575742645
1,0,2000,0.923595893476991
1,1,2000,0.9187242930659197
1,2,2000,0.9134663340161641
2,0,2000,0.9065201601456716
2,1,2000,0.9264246686049518
2,2,2000,0.9264246686049518
0,0,3000,0.8827767527510475
0,1,3000,0.8710014180505268
0,2,3000,0.8681916090063169
1,0,3000,0.8927102383996544
1,1,3000,0.8961921848296972
1,2,3000,0.8842864507389847
2,0,3000,0.8904702194207748
2,1,3000,0.9097146796876362
2,2,3000,0.8862147511804777
0,0,4000,0.8629199808855154
0,1,4000,0.8716833821900035
0,2,4000,0.8837928771760994
1,0,4000,0.8483138814615577
1,1,4000,0.8755995097632145
1,2,4000,0.8582008410310453
2,0,4000,0.8579180054673023
2,1,4000,0.8646617485738625
2,2,4000,0.844268064016267
0,0,5000,0.8198732627990309
0,1,5000,0.8148111235008033
0,2,5000,0.8460513839503557
1,0,5000,0.8568781494333362
1,1,5000,0.8319300059010023
1,2,5000,0.8162016003629161
2,0,5000,0.8252317943943414
2,1,5000,0.8278589255447143
2,2,5000,0.8166707350230278
0,0,6000,0.7969447468937988
0,1,6000,0.8080603342439727
0,2,6000,0.8328388928321382
1,0,6000,0.8172894620338873
1,1,6000,0.8192657077068222
1,2,6000,0.7850240109125102
2,0,6000,0.7990906491870237
2,1,6000,0.7921090853003553
2,2,6000,0.8058620718253898
0,0,7000,0.787818193294184
0,1,7000,0.7692747062683379
0,2,7000,0.7997914904416785
1,0,7000,0.7954779239328819
1,1,7000,0.7678176750736031
1,2,7000,0.7931451738183526
2,0,7000,0.7869112299166037
2,1,7000,0.7949096119944972
2,2,7000,0.7904046965451484
0,0,8000,0.7589508791278846
0,1,8000,0.7771297074921794
0,2,8000,0.7883691382214496
1,0,8000,0.7508340630879038
1,1,8000,0.7491313012324923
1,2,8000,0.7819665975498934
2,0,8000,0.7711231898974802
2,1,8000,0.7479997899180202
2,2,8000,0.7721191065747018
0,0,9000,0.7414468886112524
0,1,9000,0.7584821798087548
0,2,9000,0.7352050423796649
1,0,9000,0.7377520107659724
1,1,9000,0.7551157511771154
1,2,9000,0.7551157511771154
2,0,9000,0.7433347976876125
2,1,9000,0.7482732453843193
2,2,9000,0.7340473770877091
0,0,10000,0.7225276498162619
0,1,10000,0.7028673638521772
0,2,10000,0.7213245533843761
1,0,10000,0.7428767000669608
1,1,10000,0.7085329486368164
1,2,10000,0.7052381928471544
2,0,10000,0.6963649343900786
2,1,10000,0.7445763651869987
2,2,10000,0.7405556283573089
0,0,11000,0.679943660879959
0,1,11000,0.6941333760197014
0,2,11000,0.6992894138762754
1,0,11000,0.700622052777109
1,1,11000,0.696641461106972
1,2,11000,0.6944817356981525
2,0,11000,0.6961218453024725
2,1,11000,0.6991205864868658
2,2,11000,0.6951423412870387
0,0,12000,0.6665486044526766
0,1,12000,0.686059122487453
0,2,12000,0.6715162909294505
1,0,12000,0.6914502668578182
1,1,12000,0.6654069187964026
1,2,12000,0.6776009616487658
2,0,12000,0.6860175983656011
2,1,12000,0.6716502088286055
2,2,12000,0.691395780655467
0,0,13000,0.6535298021987389
0,1,13000,0.6618523845717891
0,2,13000,0.6566084937449314
1,0,13000,0.680576422209018
1,1,13000,0.6453415780761681
1,2,13000,0.628496880325958
2,0,13000,0.6628000495407287
2,1,13000,0.610152560921822
2,2,13000,0.6547126468984102
0,0,14000,0.6415461881851237
0,1,14000,0.6156318081926944
0,2,14000,0.6352272634861397
1,0,14000,0.6336791989504753
1,1,14000,0.6329999592479729
1,2,14000,0.6228496115157209
2,0,14000,0.6205707798593829
2,1,14000,0.6325184119783617
2,2,14000,0.6261016886826369
0,0,15000,0.6256530755553169
0,1,15000,0.6185747132877579
0,2,15000,0.6261858236957277
