Gate_1,Gate_2,Delay,Fidelity
0,0,0,0.9785126953007812
0,1,0,0.9810462959633917
0,2,0,0.9804224279351366
1,0,0,0.9726445310624939
1,1,0,0.9804361094204849
1,2,0,0.9830220835574611
2,0,0,0.9695580208784114
2,1,0,0.9814432847483499
2,2,0,0.975585203609609
0,0,1000,0.9462869592836858
0,1,1000,0.9487471366046049
0,2,1000,0.9520585449242491
1,0,1000,0.9597653610112432
1,1,1000,0.9444118070904183
1,2,1000,0.9469888046034154
2,0,1000,0.9442453094212983
2,1,1000,0.9421671980441276
2,2,1000,0.9471908802905046
0,0,2000,0.9312576970436198
0,1,2000,0.9274277131870453
0,2,2000,0.9077360133441855
1,0,2000,0.9158349483312713
1,1,2000,0.9083180705963325
1,2,2000,0.9233183801899163
2,0,2000,0.9071088563323472
2,1,2000,0.9173750516533162
2,2,2000,0.9262623022496465
0,0,3000,0.8917009510967437
0,1,3000,0.8957820884726984
0,2,3000,0.8806512987118584
1,0,3000,0.8923754604997935
1,1,3000,0.8914654068660083
1,2,3000,0.8949689888830561
2,0,3000,0.8932217339124502
2,1,3000,0.8767399794276035
2,2,3000,0.904609720723679
0,0,4000,0.8645050434989034
0,1,4000,0.8740694988408806
0,2,4000,0.8438011868422287
1,0,4000,0.8658262854856239
1,1,4000,0.858032029462907
1,2,4000,0.8657531074089428
2,0,4000,0.8701425518091075
2,1,4000,0.8692990858811334
2,2,4000,0.8583371294176799
0,0,5000,0.8305006278914757
0,1,5000,0.8422522998267908
0,2,5000,0.8512739672115688
1,0,5000,0.8224943947775502
1,1,5000,0.8369760391726523
1,2,5000,0.8218887961016157
2,0,5000,0.8076345465027353
2,1,5000,0.8218887961016157
2,2,5000,0.8236700536647774
0,0,6000,0.810971965048487
0,1,6000,0.8120647517823237
0,2,6000,0.8105766468633591
1,0,6000,0.8294429063151597
1,1,6000,0.8170601184622851
1,2,6000,0.8005167480322782
2,0,6000,0.8288467261891935
2,1,6000,0.7998511651254051
