Gate_1,Gate_2,Delay,Fidelity
0,0,0,0.9738502913290594
0,1,0,0.9736327308476078
0,2,0,0.9648227762409984
1,0,0,0.9702091130747138
1,1,0,0.9821170512491371
1,2,0,0.9694830660449542
2,0,0,0.9634833733379714
2,1,0,0.9658063448071293
2,2,0,0.9743295351424806
0,0,1000,0.9323456218045401
0,1,1000,0.9257689401713325
0,2,1000,0.9266540247181323
1,0,1000,0.9343529260079282
1,1,1000,0.9238200754058364
1,2,1000,0.9495230268599739
2,0,1000,0.9340638399369399
2,1,1000,0.9365233526700297
2,2,1000,0.9411819421412337
0,0,2000,0.8948560717557607
0,1,2000,0.9038745510620333
0,2,2000,0.8949631604604593
1,0,2000,0.9000148994372936
1,1,2000,0.906112211677356
1,2,2000,0.8984360867372716
2,0,2000,0.9127688198537556
2,1,2000,0.9028751915987249
2,2,2000,0.8971334529624072
0,0,3000,0.8704090375062984
0,1,3000,0.8716833821900035
0,2,3000,0.8883534339099289
1,0,3000,0.86172233915821
1,1,3000,0.8658383746268076
1,2,3000,0.8618365328828201
2,0,3000,0.8532195674550193
2,1,3000,0.8485978303822105
2,2,3000,0.8749761101332194
0,0,4000,0.8310524185272445
0,1,4000,0.8275957888850803
0,2,4000,0.8400856383975454
1,0,4000,0.8538310471195049
1,1,4000,0.8531087141747065
1,2,4000,0.843325321439361
2,0,4000,0.8237078885157461
2,1,4000,0.8363740111110732
2,2,4000,0.8305632355776776
0,0,5000,0.8153419434701162
0,1,5000,0.7923493108083866
0,2,5000,0.8130652902791424
1,0,5000,0.7852716209794238
1,1,5000,0.7936283241710631
1,2,5000,0.794657160077446
2,0,5000,0.8084895447813729
2,1,5000,0.8153419434701162
2,2,5000,0.7876338231644463
0,0,6000,0.7852637322267121
0,1,6000,0.7715435972830529
0,2,6000,0.7955311009592462
1,0,6000,0.7785551514773121
1,1,6000,0.7620668804085095
1,2,6000,0.7746781400219269
2,0,6000,0.7596142898834537
2,1,6000,0.763662217387448
2,2,6000,0.7846142313182124
0,0,7000,0.7597334996213346
0,1,7000,0.7410378909364318
0,2,7000,0.7393640440104368
1,0,7000,0.7490233405418333
1,1,7000,0.7420885917442541
1,2,7000,0.7524405280450505
2,0,7000,0.761352323390495
2,1,7000,0.7626434065018995
2,2,7000,0.7372799242227619
0,0,8000,0.7116157884325589
0,1,8000,0.7220301673091344
0,2,8000,0.7289704862802907
1,0,8000,0.7113769490889507
1,1,8000,0.7182016716383284
1,2,8000,0.7337295857536875
2,0,8000,0.7302019884800546
2,1,8000,0.7095090928947062
2,2,8000,0.7456074376196058
0,0,9000,0.7085538589272296
0,1,9000,0.725089752314544
0,2,9000,0.7087943411703136
1,0,9000,0.6857735764696677
1,1,9000,0.6944817356981525
1,2,9000,0.6982962068137748
2,0,9000,0.6756578855596265
2,1,9000,0.6958610555095479
2,2,9000,0.7003376443077425
0,0,10000,0.6654009082155551
0,1,10000,0.6897783642797516
0,2,10000,0.6604754607816513
1,0,10000,0.6792061130057367
1,1,10000,0.6789373695198031
1,2,10000,0.6868105921466278
2,0,10000,0.6861514099387234
2,1,10000,0.7008836418365597
2,2,10000,0.6715287516776656
0,0,11000,0.6673129713777076
0,1,11000,0.6320373929357449
0,2,11000,0.6425293992400233
1,0,11000,0.6356282006310638
1,1,11000,0.6745633141988906
1,2,11000,0.6466747654727366
2,0,11000,0.6582959621178853
2,1,11000,0.6602258267206902
2,2,11000,0.6474446822354544
0,0,12000,0.640058852017451
0,1,12000,0.6101003707903231
0,2,12000,0.6582192353529654
1,0,12000,0.6403178480565117
1,1,12000,0.6170580406788032
1,2,12000,0.6019169188031245
2,0,12000,0.6426873243836518
2,1,12000,0.6063123680461322
2,2,12000,0.6581226653807862
0,0,13000,0.6371409466661084
0,1,13000,0.6149124199626287
0,2,13000,0.591774761522427
1,0,13000,0.5882720725914244
1,1,13000,0.6124569795621535
1,2,13000,0.591737352003364
2,0,13000,0.5817625998621944
2,1,13000,0.5903319176961964
2,2,13000,0.5803358027004771
0,0,14000,0.5840380530730273
0,1,14000,0.6005572135204622
0,2,14000,0.5672592924874202
1,0,14000,0.5703975863255998
1,1,14000,0.5855719597776224
1,2,14000,0.6085510091290376
2,0,14000,0.5689846947565019
2,1,14000,0.6000697694841381
2,2,14000,0.6141431088803919
0,0,15000,0.5502924909792392
0,1,15000,0.5503929344274912
0,2,15000,0.5749482515158814
1,0,15000,0.5921506415832601
1,1,15000,0.5617039490738075
1,2,15000,0.5573653268927302
2,0,15000,0.5679170124105031
2,1,15000,0.5827607515158815
2,2,15000,0.5626917520908454
0,0,16000,0.5789477938561922
0,1,16000,0.5149391183613645
0,2,16000,0.5476769764060267
1,0,16000,0.5559038692298157
1,1,16000,0.5819008316299483
1,2,16000,0.5657892156671441
2,0,16000,0.5537011571921734
2,1,16000,0.5363160954413263
2,2,16000,0.5769202185880605
0,0,17000,0.5093546549115855
0,1,17000,0.5204065621236219
0,2,17000,0.5159795216796333
1,0,17000,0.5077555268195721
1,1,17000,0.5565968600491638
1,2,17000,0.5517952863313974
2,0,17000,0.5566022976843726
2,1,17000,0.4973470730154211
2,2,17000,0.5465640022650793
0,0,18000,0.5143541623082197
0,1,18000,0.49803823268477393
0,2,18000,0.5333880579991463
1,0,18000,0.5160083949750991
1,1,18000,0.5276606260956586
1,2,18000,0.5074166856035762
2,0,18000,0.5207955094550092
2,1,18000,0.5236263735399771
2,2,18000,0.4935370550204143
0,0,19000,0.5196391458381151
0,1,19000,0.5028576663976144
0,2,19000,0.4897062733396544
1,0,19000,0.5060814134205651
1,1,19000,0.46468207363217984
1,2,19000,0.49019612658009176
2,0,19000,0.49213441967904137
2,1,19000,0.46497071539337276
2,2,19000,0.5348003916388805
0,0,20000,0.4873299465715288
0,1,20000,0.47234422113077307
0,2,20000,0.4774394319285059
1,0,20000,0.4905394773628464
1,1,20000,0.48213595884817717
1,2,20000,0.47428216752375596
2,0,20000,0.5053942704969863
2,1,20000,0.46094072341665676
2,2,20000,0.5068963140025379
0,0,21000,0.45640554155857427
0,1,21000,0.4525946066538393
0,2,21000,0.4681462086730462
1,0,21000,0.42607634556439417
1,1,21000,0.472111084750663
1,2,21000,0.47734309513279677
2,0,21000,0.4602857067997585
2,1,21000,0.45417029416080906
2,2,21000,0.47480015395241204
