Gate_1,Gate_2,Delay,Fidelity
0,0,0,0.9179562297392889
0,1,0,0.9247670663214846
0,2,0,0.906051320026693
1,0,0,0.9295012641143128
1,1,0,0.9247514427327961
1,2,0,0.9265019529374939
2,0,0,0.9200474324220748
2,1,0,0.9286652983048298
2,2,0,0.9268418778323344
0,0,1000,0.8954879523206084
0,1,1000,0.8809484982423419
0,2,1000,0.877873625499949
1,0,1000,0.887466650177842
1,1,1000,0.9011260117902907
1,2,1000,0.8876801095846248
2,0,1000,0.9168988875716493
2,1,1000,0.9087733178585429
2,2,1000,0.9059408235629666
0,0,2000,0.8788289817098413
0,1,2000,0.8470735783839625
0,2,2000,0.8855600685546245
1,0,2000,0.8714691491339889
1,1,2000,0.8845087042090667
1,2,2000,0.8590493182566751
2,0,2000,0.8664368780577659
2,1,2000,0.8768496534399686
2,2,2000,0.8695754635600245
0,0,3000,0.8421846760539009
0,1,3000,0.8128849740026325
0,2,3000,0.8733255886846336
1,0,3000,0.8441556010670721
1,1,3000,0.8729045741895205
1,2,3000,0.8424511300847046
2,0,3000,0.852102175322013
2,1,3000,0.8432767632360887
2,2,3000,0.8292480322950878
0,0,4000,0.8259435106033121
0,1,4000,0.8445553964577442
0,2,4000,0.8335295359281273
1,0,4000,0.8475819375506578
1,1,4000,0.837437853157303
1,2,4000,0.844277168623125
2,0,4000,0.8295363478744969
2,1,4000,0.835602886276962
2,2,4000,0.8116834576565043
0,0,5000,0.8115581511067151
0,1,5000,0.7946773511084766
0,2,5000,0.7981484428713277
1,0,5000,0.8180646158555974
1,1,5000,0.8143663329711377
1,2,5000,0.8143967293263494
2,0,5000,0.794106276531209
2,1,5000,0.7979308840386237
2,2,5000,0.787818193294184
0,0,6000,0.7780601622234258
0,1,6000,0.7764538520928823
0,2,6000,0.8093200105360835
1,0,6000,0.7568911571576746
1,1,6000,0.754363521452474
1,2,6000,0.7819561067817938
2,0,6000,0.7755824454003554
2,1,6000,0.7699130138147369
2,2,6000,0.7797714878500537
0,0,7000,0.712390316875013
0,1,7000,0.7873937549206838
0,2,7000,0.7801124575416064
1,0,7000,0.7641365635593342
1,1,7000,0.7727402886806282
1,2,7000,0.7528130599238154
2,0,7000,0.7281813996298099
2,1,7000,0.773693015802907
2,2,7000,0.769168840288767
0,0,8000,0.7636022886187119
0,1,8000,0.8069913440331423
0,2,8000,0.777317750512152
1,0,8000,0.8076006434395652
1,1,8000,0.7229259582759396
1,2,8000,0.7607245806962109
2,0,8000,0.7119188475356927
2,1,8000,0.7187483614677026
2,2,8000,0.727466134921325
0,0,9000,0.7244194226834695
0,1,9000,0.6955823863422763
0,2,9000,0.7498998669505863
1,0,9000,0.7134936053202462
1,1,9000,0.7077150278806827
1,2,9000,0.7919476491072919
2,0,9000,0.7165607652079898
2,1,9000,0.6941517386497583
2,2,9000,0.6958003566572878
0,0,10000,0.7055925707366969
0,1,10000,0.7693993843860581
0,2,10000,0.6716220230432556
1,0,10000,0.6905549281060075
1,1,10000,0.6712484241088439
1,2,10000,0.7575756608771101
2,0,10000,0.6914943075405124
2,1,10000,0.6700975340023682
2,2,10000,0.6688629398483651
0,0,11000,0.6978352746879819
0,1,11000,0.6694012666461279
0,2,11000,0.758532072071789
1,0,11000,0.7431329236596564
1,1,11000,0.6925339727930064
1,2,11000,0.7087903126943282
2,0,11000,0.6724261591407554
2,1,11000,0.6606797702070227
2,2,11000,0.6615477974660371
0,0,12000,0.7323476566435427
0,1,12000,0.7518290961898659
0,2,12000,0.6546012418804147
1,0,12000,0.6816987527634654
1,1,12000,0.6822964516223801
1,2,12000,0.6824605197159778
2,0,12000,0.6307509319503359
2,1,12000,0.6450713170670246
2,2,12000,0.6196638293129302
0,0,13000,0.658699438557743
0,1,13000,0.6454722677601729
0,2,13000,0.6553719498319595
1,0,13000,0.7021258470461273
1,1,13000,0.6306438947736647
1,2,13000,0.7872488625664439
2,0,13000,0.6171763006530999
2,1,13000,0.6448320946940269
2,2,13000,0.6076604410593377
0,0,14000,0.6786482961503019
0,1,14000,0.652485577105606
0,2,14000,0.6876061095408257
1,0,14000,0.6076725383829819
1,1,14000,0.7819877292265258
1,2,14000,0.6483262512969195
2,0,14000,0.6226570197722918
2,1,14000,0.6302556812288207
2,2,14000,0.5932710014957464
0,0,15000,0.7059145034519939
0,1,15000,0.5992734886309319
0,2,15000,0.6370322472773239
1,0,15000,0.745813008841557
1,1,15000,0.5932519961453708
1,2,15000,0.6874300450917696
2,0,15000,0.6078371290105982
2,1,15000,0.5956975504343376
2,2,15000,0.5993214344070045
0,0,16000,0.6884468145144843
0,1,16000,0.6542374290558209
0,2,16000,0.7080068036525282
1,0,16000,0.7241165642003542
1,1,16000,0.6332837448787585
1,2,16000,0.5552992923680454
2,0,16000,0.5708947720916168
2,1,16000,0.569642129778803
2,2,16000,0.5784254112649723
0,0,17000,0.6050222358408808
0,1,17000,0.5683531377476678
0,2,17000,0.6530681998034098
1,0,17000,0.6194652823813283
1,1,17000,0.584757646162975
1,2,17000,0.5521868861241463
2,0,17000,0.5529780302554846
2,1,17000,0.5800687348044666
2,2,17000,0.5539633953991236
0,0,18000,0.5828796658043199
0,1,18000,0.5541990906593955
0,2,18000,0.6688137892582986
1,0,18000,0.7521541782576906
1,1,18000,0.7006008948143733
1,2,18000,0.524368202260575
2,0,18000,0.5657634574439127
2,1,18000,0.569571350124192
2,2,18000,0.529174773013831
0,0,19000,0.5917587489644855
0,1,19000,0.7325712004410823
0,2,19000,0.5760490053781636
1,0,19000,0.6464799627800002
1,1,19000,0.5691937751919652
1,2,19000,0.5459941694811338
2,0,19000,0.535123801866486
2,1,19000,0.5507691154743427
2,2,19000,0.5513310393719546
0,0,20000,0.6876328599169884
0,1,20000,0.7204420543034931
0,2,20000,0.659785752742616
1,0,20000,0.749098495138475
1,1,20000,0.711764043369383
1,2,20000,0.6844963924990288
2,0,20000,0.4997070260544132
2,1,20000,0.5081377936728366
2,2,20000,0.5143902461164082
0,0,21000,0.5409391117076268
0,1,21000,0.5751885689391809
0,2,21000,0.5257760653623015
1,0,21000,0.6896268588679302
1,1,21000,0.5800204188610404
1,2,21000,0.6387725159531762
2,0,21000,0.48626187131860077
2,1,21000,0.5254005694220675
2,2,21000,0.4974628032305231
0,0,22000,0.6897125238409839
0,1,22000,0.5893737654931899
0,2,22000,0.4954684193484969
1,0,22000,0.6466221796007078
1,1,22000,0.739862417501682
1,2,22000,0.5053699008773327
2,0,22000,0.5040174313059775
2,1,22000,0.5023773168320882
2,2,22000,0.47402575732523816
0,0,23000,0.5913929166908932
0,1,23000,0.44001073277233965
0,2,23000,0.5844714710982317
1,0,23000,0.48240730761831363
1,1,23000,0.5184939940562365
1,2,23000,0.5037215161335998
2,0,23000,0.5015805977361889
2,1,23000,0.46051214530146223
2,2,23000,0.4676685465242336
0,0,24000,0.4948141082019825
0,1,24000,0.5186514343417938
0,2,24000,0.5147399350049301
1,0,24000,0.49324889305592473
1,1,24000,0.642745004209158
1,2,24000,0.6011600375768359
2,0,24000,0.4348642446515269
2,1,24000,0.470953220193885
2,2,24000,0.4510754514339506
0,0,25000,0.5815887401512114
0,1,25000,0.7331475684857671
0,2,25000,0.7330757211235686
1,0,25000,0.48705919553852733
1,1,25000,0.47986324244101775
1,2,25000,0.533935546875
2,0,25000,0.46597001628751517
2,1,25000,0.44615383732169633
2,2,25000,0.4630367549055611
0,0,26000,0.5119322706669168
0,1,26000,0.45654281823167836
0,2,26000,0.7234029057336657
1,0,26000,0.4764185902257001
1,1,26000,0.7183712908598782
1,2,26000,0.49653372178420474
2,0,26000,0.419873753924968
2,1,26000,0.46334838650412546
2,2,26000,0.4625418272454887
0,0,27000,0.4500649068108542
0,1,27000,0.7300720745704591
0,2,27000,0.5865384175969823
1,0,27000,0.43614020082484195
1,1,27000,0.5918176518805223
1,2,27000,0.5217653968396418
2,0,27000,0.4419974616110029
2,1,27000,0.4215494107224087
2,2,27000,0.4342362055007099
0,0,28000,0.5432376407637763
0,1,28000,0.4079415449644586
0,2,28000,0.47313486207738437
1,0,28000,0.5225984025056161
1,1,28000,0.43518031125780116
1,2,28000,0.44393614854764374
2,0,28000,0.423785351281019
2,1,28000,0.44130960051303214
2,2,28000,0.4063533342895196
0,0,29000,0.4548228867597594
0,1,29000,0.6764414829079257
0,2,29000,0.46142563147041915
1,0,29000,0.4258206232527981
1,1,29000,0.462508363043311
1,2,29000,0.7051659945413689
2,0,29000,0.4118725220195661
2,1,29000,0.3909975912288237
2,2,29000,0.39105560129442335
0,0,30000,0.5046941504217474
0,1,30000,0.4624716477005391
0,2,30000,0.48435117982786385
1,0,30000,0.662282618004888
1,1,30000,0.5925166922665263
1,2,30000,0.5671616607159434
2,0,30000,0.4238243804766523
2,1,30000,0.40523437109296856
2,2,30000,0.3977880677373184
0,0,31000,0.4111734981726589
0,1,31000,0.3772741081222151
0,2,31000,0.7118644938116562
1,0,31000,0.6785282618558405
1,1,31000,0.5754144286253324
1,2,31000,0.4696662686176281
2,0,31000,0.39060914604414215
2,1,31000,0.35261353003953566
2,2,31000,0.3802489826113039
0,0,32000,0.6504904712483633
0,1,32000,0.6532822505177492
0,2,32000,0.5925846813275738
1,0,32000,0.6659345852943324
1,1,32000,0.38129622499141375
1,2,32000,0.44142993372581496
2,0,32000,0.38694353115530083
2,1,32000,0.3800411536128821
2,2,32000,0.38194441256813616
0,0,33000,0.4763878317284324
0,1,33000,0.4538572562435636
0,2,33000,0.3930556744699583
1,0,33000,0.6612124064791762
1,1,33000,0.5747349165436854
1,2,33000,0.6693879500410613
2,0,33000,0.374127158880693
2,1,33000,0.38180368964148903
2,2,33000,0.3729028539252591
0,0,34000,0.35794266964476573
0,1,34000,0.6398322671130536
0,2,34000,0.6691363090750543
1,0,34000,0.40208615622401433
1,1,34000,0.5456066660859957
1,2,34000,0.6243276242357799
2,0,34000,0.37528296206327616
2,1,34000,0.385447682105121
2,2,34000,0.3735269958384126
0,0,35000,0.6237346303607363
0,1,35000,0.6272530390457546
0,2,35000,0.35123290594789625
1,0,35000,0.37433032291278406
1,1,35000,0.3953419642134695
1,2,35000,0.3716803764315521
2,0,35000,0.3251728974213947
2,1,35000,0.34449303635037365
2,2,35000,0.3294729648489586
0,0,36000,0.6125094459474226
0,1,36000,0.4992305369621458
0,2,36000,0.4724629344166237
1,0,36000,0.47135832261264166
1,1,36000,0.5536969118288031
1,2,36000,0.5413220136130158
2,0,36000,0.3180489644943497
2,1,36000,0.3532519520088011
2,2,36000,0.3333945508933961
0,0,37000,0.6280301365926666
0,1,37000,0.475751899986766
0,2,37000,0.6299699831241177
1,0,37000,0.342474109926645
1,1,37000,0.6326008236060496
1,2,37000,0.37864431392338677
2,0,37000,0.3276916224566475
2,1,37000,0.3179647477678694
2,2,37000,0.3459807134563807
0,0,38000,0.35291989440488525
0,1,38000,0.479855756803112
0,2,38000,0.3483647594705593
1,0,38000,0.4167519719147085
1,1,38000,0.3328515985701856
1,2,38000,0.49320391745178077
2,0,38000,0.33445876741944863
2,1,38000,0.31970172359825366
2,2,38000,0.31145358428927233
0,0,39000,0.5210923914239503
0,1,39000,0.2900183711303968
0,2,39000,0.6760534041275722
1,0,39000,0.3227864548893972
1,1,39000,0.6578755002175387
1,2,39000,0.3219837844052244
2,0,39000,0.329147744708383
2,1,39000,0.3466129009829362
2,2,39000,0.3104469666861642
0,0,40000,0.2920345321794878
0,1,40000,0.32134235170407116
0,2,40000,0.636015435604016
1,0,40000,0.3624157555922514
1,1,40000,0.6086536750375482
1,2,40000,0.36215386785961906
2,0,40000,0.3112164110578264
2,1,40000,0.3157345620810146
2,2,40000,0.3219968444290582
0,0,41000,0.5913934419672803
0,1,41000,0.32030932930910855
0,2,41000,0.5508956443896972
1,0,41000,0.6219818904638565
1,1,41000,0.3176180208852244
1,2,41000,0.3185072636079282
2,0,41000,0.3077110135842044
2,1,41000,0.30507809347764364
2,2,41000,0.308553184512613
0,0,42000,0.3341024550680504
0,1,42000,0.34028257712212717
0,2,42000,0.352294126626555
1,0,42000,0.6336157829818724
1,1,42000,0.543568729542493
1,2,42000,0.3935333105916185
2,0,42000,0.2991557639332413
2,1,42000,0.29727104396633747
2,2,42000,0.31845061596662955
0,0,43000,0.6727005515829015
0,1,43000,0.29928414564678524
0,2,43000,0.3639984122580054
1,0,43000,0.48518822962716124
1,1,43000,0.6332110689065854
1,2,43000,0.31713782709522215
2,0,43000,0.2552278963812526
2,1,43000,0.28942079012674
2,2,43000,0.2883648026100595
0,0,44000,0.639457162048507
0,1,44000,0.6165986521824935
0,2,44000,0.6433069565231615
1,0,44000,0.31490293549069365
