Gate_1,Gate_2,Delay,Fidelity
0,0,0,0.9706949102157104
0,1,0,0.9754757600981495
0,2,0,0.9842209082442872
1,0,0,0.9812381417352181
1,1,0,0.9801825384823675
1,2,0,0.9921823870722914
2,0,0,0.9784765991410899
2,1,0,0.9755625271199665
2,2,0,0.9733226277352973
0,0,1000,0.9462449811519351
0,1,1000,0.952966298758111
0,2,1000,0.9393162079968881
1,0,1000,0.9443338371787015
1,1,1000,0.9501709985571853
1,2,1000,0.9488402335445038
2,0,1000,0.9433657912553791
2,1,1000,0.9485311360066275
2,2,1000,0.9558680268237685
0,0,2000,0.91970958843841
0,1,2000,0.9182594181486329
0,2,2000,0.9324911575742645
1,0,2000,0.9207554116533064
1,1,2000,0.9233183801899163
1,2,2000,0.9086488020353263
2,0,2000,0.9226762818333833
2,1,2000,0.9057040080142144
2,2,2000,0.9323369397805428
0,0,3000,0.8885164771014488
0,1,3000,0.8963730352753917
0,2,3000,0.8820747555037829
1,0,3000,0.9082377626486207
1,1,3000,0.8778244385068779
1,2,3000,0.8948730163446997
2,0,3000,0.9026069609733309
2,1,3000,0.8962666340019477
2,2,3000,0.8875544467242205
0,0,4000,0.8521887297049916
0,1,4000,0.863839278526068
0,2,4000,0.8579268098427092
1,0,4000,0.8681916090063169
1,1,4000,0.8752552531740151
1,2,4000,0.8620923243761583
2,0,4000,0.8750183655888086
2,1,4000,0.8684233618416553
2,2,4000,0.8556695161780161
0,0,5000,0.8238946411231448
0,1,5000,0.840369181036081
0,2,5000,0.8388584289745099
1,0,5000,0.841988117291478
1,1,5000,0.8327134683069564
1,2,5000,0.8242855888464493
2,0,5000,0.8589272898488277
2,1,5000,0.8385034179599522
2,2,5000,0.8235245647633592
0,0,6000,0.8108889314822707
0,1,6000,0.7826706009731439
0,2,6000,0.7941823711047958
1,0,6000,0.8191779741344072
1,1,6000,0.8029513145181163
1,2,6000,0.8278235345253541
2,0,6000,0.8212890625
2,1,6000,0.8242200855587414
2,2,6000,0.8152932595283464
0,0,7000,0.7840051324794022
0,1,7000,0.782220468446913
0,2,7000,0.7823403772971148
1,0,7000,0.8053668435008554
1,1,7000,0.7977179639002191
1,2,7000,0.7889888676680209
2,0,7000,0.7813354658687519
2,1,7000,0.796711568405644
2,2,7000,0.7930109583879594
0,0,8000,0.7731907739117323
0,1,8000,0.755014489380287
0,2,8000,0.7582738669421023
1,0,8000,0.7663694040114765
1,1,8000,0.7913851109781793
1,2,8000,0.7638673335574043
2,0,8000,0.7777577678227068
2,1,8000,0.7715959758636993
2,2,8000,0.7714165508904129
0,0,9000,0.7507665237119618
0,1,9000,0.7471267708699539
0,2,9000,0.7357879377518995
1,0,9000,0.7526125323312519
1,1,9000,0.7490233405418333
1,2,9000,0.7411544490434088
2,0,9000,0.7441196055216521
2,1,9000,0.7544832702184737
2,2,9000,0.73502680981178
0,0,10000,0.7239205392177959
0,1,10000,0.7460072755935657
0,2,10000,0.7084429098243984
